Организация,Номер пункта договора,Содержание пункта договора
"ПАО ""Детский мир""",2.,2. ОБЩИЕ ПОЛОЖЕНИЯ
"ПАО ""Детский мир""",2.1.,"2.1. Настоящие «Правила продажи товаров в Интернет-магазине www.detmir.ru» (далее — «Правила») определяют порядок розничной купли-продажи Товаров через Интернет-магазин, и в соответствии со ст. 437 Гражданского Кодекса РФ являются официальной публичной офертой ПАО «Детский мир», далее именуемого «Продавец», адресованной физическим лицам, далее именуемым «Покупатель», при совместном упоминании Продавец и Покупатель также именуются «Стороны», а каждый по отдельности «Сторона»."
"ПАО ""Детский мир""",2.2.,"2.2. Каждая Сторона гарантирует другой Стороне, что обладает необходимой право- и дееспособностью, а равно всеми правами и полномочиями, необходимыми и достаточными для заключения и исполнения договора розничной купли-продажи."
"ПАО ""Детский мир""",2.3.,"2.3. Заказывая Товары через Интернет-магазин, Покупатель может не соглашаться с Правилами, изложенными ниже и действовать по своему усмотрению."
"ПАО ""Детский мир""",2.4.,"2.4. К отношениям между Покупателем и Продавцом применяются положения Гражданского Кодекса РФ (в т. ч. положение о розничной купле-продаже (§ 2, глава 30), Закон РФ «О защите прав потребителей» от 07.02.1992 № 2300-1, Правила продажи товаров дистанционным способом, утверждённые Постановлением Правительства РФ № 612 от 27.09.2007 года и иные правовые акты, принятые в соответствии с ними."
"ПАО ""Детский мир""",2.5.,"2.5. Продавец оставляет за собой право вносить изменения в настоящие Правила, в связи с чем, Покупатель обязуется регулярно отслеживать изменения в Правилах, размещенных на странице Интернет-магазина в разделе «Помощь»."
"ПАО ""Детский мир""",2.6.,"2.6. Продавец производит ознакомление Покупателя с настоящими Правилами путем их размещения на главной странице сайта Интернет-магазина в разделе «Интернет-магазин» пункт «Правила продажи».
Покупатель обязуется до момента оформления Заказа в интернет-магазине ознакомиться с содержанием и условиями, установленными в настоящих Правилах, а также с иными условиями, указанными на сайте интернет-магазина, в том числе с ценами на товар, установленными в интернет-магазине.
Продавец вправе затребовать у Покупателя подтверждение ознакомления с настоящими Правилами путем проставления отметки в графе «С Правилами продажи согласен» при оформлении Заказа посредством заполнения электронной формы Заказа (Приложение № 1 к настоящим правилам), либо иными способами не противоречащими действующему законодательству РФ."
"ПАО ""Детский мир""",2.7.,2.7. Действующая версия Правил размещена на сайте Интернет-магазина.
"ПАО ""Детский мир""",#N/A,
"ПАО ""Детский мир""",3.,3. РЕГИСТРАЦИЯ В ИНТЕРНЕТ-МАГАЗИНЕ
"ПАО ""Детский мир""",3.1.,3.1. Оформить Заказ в Интернет-магазине могут зарегистрированные и незарегистрированные Покупатели.
"ПАО ""Детский мир""",3.2.,"3.2. Продавец не несет ответственности за точность и правильность информации, предоставляемой Покупателем при регистрации."
"ПАО ""Детский мир""",3.3.,"3.3. Покупатель, зарегистрировавшийся в Интернет-магазине получает индивидуальную идентификацию путем предоставления логина и пароля. Индивидуальная идентификация Покупателя позволяет избежать несанкционированных действий третьих лиц от имени Покупателя и открывает доступ к дополнительным сервисам. Передача Покупателем логина и пароля третьим лицам запрещена, Покупатель самостоятельно несёт ответственность за все возможные негативные последствия, в случае передачи логина и пароля третьим лицам."
"ПАО ""Детский мир""",3.4.,"3.4. Продавец подтверждает, что все персональные данные, полученные от зарегистрированных покупателей, будут обрабатываться в соответствии с Федеральным законом от 27.07.2006 N 152-ФЗ ""О персональных данных""."
"ПАО ""Детский мир""",4.,4. ОФОРМЛЕНИЕ И СРОКИ ВЫПОЛНЕНИЯ ЗАКАЗА
"ПАО ""Детский мир""",4.1.,4.1.Заказ Покупателя может быть оформлен исключительно самостоятельно покупателем только через сеть интернет. (сайт www.detmir.ru или мобильное приложение)
"ПАО ""Детский мир""",4.2.,"4.2. После получения Заказа Продавец согласовывает данные Заказа с Покупателем, в том числе плановую дату и время доставки товара. Указанные дата и время зависят от региона доставки и времени, необходимого на обработку Заказа. Обращаем внимание: в момент подтверждения заказа Клиент получает информацию о плановой дате доставки. Точная дата доставки будет предоставлена в смс-сообщении после передачи заказа в Курьерскую службу. В случае невозможности согласования заказа с Покупателем Продавец имеет право отправить заказ в разумные сроки."
"ПАО ""Детский мир""",4.3.,"4.3. Если после получения Заказа обнаруживается, что на складе у Продавца отсутствует необходимое количество заказанного Товара, Продавец информирует об этом Покупателя в течение 1 рабочего дня. В случае невозможности согласования заказа с Покупателем Продавец имеет право отправить заказ в разумные сроки. Покупатель вправе согласиться принять Товар в количестве, имеющемся в наличии у Продавца, либо аннулировать данную позицию Товара из Заказа. В случае неполучения ответа Покупателя по телефону и/или электронной почте в течение 3 (трёх) календарных дней с даты оформления Заказа, Продавец вправе аннулировать Заказ в полном объеме.
Если после получения Заказа обнаруживается техническая ошибка, в том числе, когда на сайте Продавца отражена некорректная стоимость товара, Продавец информирует Покупателя в течение 1 рабочего дня о невозможности выполнить заказ в связи с возникшими техническими ошибками. В этом случае, покупатель вправе возобновить Заказ по корректной стоимости.
"
"ПАО ""Детский мир""",4.4.,4.4. Покупатель имеет право изменить состав Заказа до передачи его в Курьерскую службу доставки путём уведомления об этом Продавца по телефону и/или электронной почте.
"ПАО ""Детский мир""",4.5.,"4.5. В случае возникновения у Покупателя вопросов, касающихся свойств и характеристик Товара, перед оформлением Заказа, Покупатель должен обратиться к Продавцу."
"ПАО ""Детский мир""",4.6.,"4.6. Продавец вправе в одностороннем порядке ограничить количество товарных позиций в одном заказе, сумму одного заказа, а также количество заказов, единовременно отправляемых на один адрес одному Покупателю.
Форма возможной оплаты заказа определяется по соглашению между Продавцом и Покупателем при оформлении заказа и не должна противоречить действующему законодательству РФ."
"ПАО ""Детский мир""",5.,5. ДОСТАВКА
"ПАО ""Детский мир""",5.1.,"5.1. Продавец приложит все усилия для соблюдения даты и времени доставки, указанных в соответствующем Заказе, тем не менее, задержки в доставке возможны ввиду непредвиденных обстоятельств, произошедших не по вине Продавца."
"ПАО ""Детский мир""",5.2.,"5.2. Риск случайной гибели или случайного повреждения Товара переходит к Покупателю в момент передачи ему Товара и подписания Покупателем документов, подтверждающих доставку Заказа и передачу Товара."
"ПАО ""Детский мир""",5.3.,"5.3. Способ доставки:
· Курьерская служба доставки
· Пункты выдачи заказов
· Самовывоз из розничного магазина
· Резерв товаров в магазине (требуется дополнительное подтверждение о наличии товара в выбранном магазине)
· Курьерская доставка по договору поручению (действует в ограниченном списке городов: Саратов, Самара, Екатеринбург,Казань,Челябинск,Омск,Уфа,Пермь,Красноярск, Воронеж, Нижний Новгород, Краснодар, Волгоград, Ростов-на-Дону, Новосибирск. Комплектация заказа производится только из товаров, физическое наличие которых, в момент комплектации заказа есть в магазине, осуществляющем комплектацию. Отличительной особенностью данного типа доставки является возможность доставки заказа по адресу клиента в день заказа, на следующий день после оформления заказа клиентом на сайте www.detmir.ru или через день после оформления заказа на сайте (зависит от времени оформления заказа клиентом)
· При курьерской доставке по договору поручению, доверитель (физическое лицо, осуществившее заказ товаров на сайте www.detmir.ru ) доверяет курьерской службе за свой счет и от своего имени совершить юридические или иные действия, направленные на приобретение товаров, предварительно заказанных доверителем на сайте www.detmir.ru или услуг для доверителя.
Более подробная информация указана в разделе Доставка и оплата на сайте Интернет-магазина."
"ПАО ""Детский мир""",5.4.,"5.4. Стоимость доставки заказанных Товаров рассчитывается индивидуально, исходя из стоимости товара, общей суммы Заказа и адреса доставки. Точная стоимость доставки рассчитывается в корзине, с предварительно выбранными товарами, а также при выборе метода доставки"
"ПАО ""Детский мир""",5.5.,"5.5. При доставке заказанные Товары вручаются Покупателю или лицу, указанному в качестве получателя в Заказе."
"ПАО ""Детский мир""",5.6.,"5.6. Во избежание случаев мошенничества, а также для выполнения взятых на себя обязательств, указанных в пункте 5.6, при вручении предоплаченного Заказа лицо, осуществляющее доставку Заказа, вправе потребовать предъявить документ, удостоверяющий личность Покупателя и/или Получателя, а также потребовать указать реквизиты предоставленного Покупателем и/или Получателем документа, удостоверяющего личность Покупателя и/или Получателя на квитанции к Заказу. Продавец гарантирует конфиденциальность и защиту персональной информации Покупателя и/или Получателя (пп. 3.4, 9.3.1.)."
"ПАО ""Детский мир""",5.7.,"5.7. В момент доставки Товара лицо, осуществляющее доставку, демонстрирует Покупателю и/или Получателю внешний вид и комплектность Товара."
"ПАО ""Детский мир""",5.8.,"5.8. Покупатель и/или Получатель в момент получения Товара получает пакет документов на Товар:
· кассовый чек либо заменяющий его документ установленной формы;
· инструкцию по эксплуатации Товара на русском языке (в случае если это предусмотрено);
· гарантийный талон (в случае, если это предусмотрено)."
"ПАО ""Детский мир""",5.9.,"5.9. Покупатель и/или Получатель при получении доставленного Заказа подтверждает своей подписью в Бланке заказа или ином документе, подтверждающем факт получения товара, что не имеет претензий к внешнему виду и комплектности Товара. После приемки Товара Покупателем и/или Получателем, Продавец не принимает претензий по внешнему виду и комплектности Товара."
"ПАО ""Детский мир""",5.10.,"5.10. Сроки, отведенные Продавцом для получения Заказа Клиентом, ограничены:
· заказ с условием курьерской доставки по адресу Получателя – 3 календарных дня с момента получения СМС-уведомления и/или звонка сотрудника курьерской службы о возможности вручения заказа курьером
· заказ с условием получения на Пункте выдачи заказов – 5-7 календарных дней с момента получения СМС-уведомления о возможности получения заказа в Пункте выдачи
· заказ с условием доставки из интернет-магазина и получением в магазине розничной сети – 5 календарных дней с момента получения СМС-уведомления о возможности получения заказа в Пункте выдачи
· заказ с условием резервирования товаров в магазине розничной сети – 2 календарных дня с момента получения СМС-уведомления о готовности заказа к выдаче
 Неполучение Заказа в указанные Правилами сроки считается отказом Клиента от договора купли-продажи и является основанием для аннулирования Заказа Продавцом. Если неполученный Заказ был предоплачен, денежные средства возвращаются Клиенту в порядке, предусмотренном Настоящими Правилами."
"ПАО ""Детский мир""",6.,6. ОПЛАТА ТОВАРА
"ПАО ""Детский мир""",6.1.,6.1. Цена Товара указывается рядом с определённым наименованием Товара в Интернет-магазине.
"ПАО ""Детский мир""",6.2.,6.2. Цена Товара в Интернет-магазине может быть изменена Продавцом в одностороннем порядке. Цена товара действительна на момент подтверждения заказа Покупателем. При этом цена на заказанный Покупателем Товар изменению не подлежит.
"ПАО ""Детский мир""",6.3.,"6.3. Заказать можно только тот Товар, который есть в наличии на момент заказа."
"ПАО ""Детский мир""",6.4.,"6.4. Оплата Товара Покупателем производится в рублях путём:
· при доставке Товара Курьерской службой доставки — наличными денежными средствами или банковской картой (если данная услуга оказывается курьерской службой) сотруднику Курьерской службы доставки при получении Товара,
· при получении на Пункте выдачи заказов – наличными денежными средствами или банковской картой (если данная услуга оказывается на Пункте выдачи заказов) сотруднику Пункта выдачи заказов при получении Товара,
· при получении заказа в розничном магазине – наличными денежными средствами, банковской картой, подарочной картой, электронным подарочным сертификатом в кассе розничного магазина,
· в иных случаях — по безналичному расчету на расчётный счёт Продавца в банке, при оплате банковской картой на сайте."
"ПАО ""Детский мир""",6.5.,"6.5. Договор купли-продажи считается заключённым с момента оплаты Покупателем заказанных Товаров и выдачи кассового или товарного чеков или с момента получения Продавцом Заказа от Покупателя.
В случае приобретения покупателем товара по акции, определенные продавцом в акции условия приобретения товара являются для сторон существенными условиями заключаемого договора купли-продажи (ч.1 ст.432 Гражданского кодекса РФ)."
"ПАО ""Детский мир""",6.6.,6.6. Способы оплаты Заказа определяются по соглашению между Покупателем и Продавцом с учетом стоимости заказа и действующего законодательства РФ. 
"ПАО ""Детский мир""",6.7.,"6.7. Идентификатором заказа через интернет магазин служит документ продавца, оформляемый при подтверждении заказа покупателя, однозначно указывающий на принадлежность товара к заказу интернет магазина. В случае, если покупатель не предоставляет данный документ на кассе и/или магазин не может однозначно идентифицировать продаваемый товар как заказ через интернет магазин, продавец имеет право реализовать товар на условиях и по текущей стоимости товара в розничном магазине."
"ПАО ""Детский мир""",6.8.,"6.8. Для выдачи предоплаченного заказа созданного в интернет магазине, для подтверждения оплаты заказа потребителю необходимо предоставить выписку со своего лицевого счета в Банке."
"ПАО ""Детский мир""",#N/A,
"ПАО ""Детский мир""",7.,7. ВОЗВРАТ И ОБМЕН ТОВАРА
"ПАО ""Детский мир""",7.1.,"7.1. Возврат товара надлежащего качества:
Покупатель вправе отказаться от заказанного Товара в любое время до его получения, а после получения Товара — в течение 14 (четырнадцати) дней, не считая день доставки/получения товара. Возврат Товара надлежащего качества возможен в случае, если сохранены его товарный вид, потребительские свойства, а также документ, подтверждающий факт и условия покупки указанного Товара. Согласно закону «О защите прав потребителей» от 07.02.1992 № 2300-1 невозможен возврат товара, бывшего в употреблении. При отказе Покупателя от заказанного Товара Покупатель осуществляет доставку возвращаемого Товара за свой счет и своими силами в любой розничный магазин сети «Детский мир».
При отказе Покупателя от Товара Продавец обязан возвратить ему сумму, уплаченную Покупателем за Товар, за исключением расходов Продавца на доставку Покупателю Товара, возврат которого осуществляет Покупатель, не позднее чем через 10 дней с даты предъявления Покупателем соответствующего письменного требования через сайт Интернет-магазина.
В случае, если информация о порядке и сроках возврата Товара надлежащего качества не была предоставлена в письменной форме в момент доставки Товара, Покупатель вправе отказаться от товара в течение трех месяцев с момента передачи Товара."
"ПАО ""Детский мир""",7.2.,"7.2. Не подлежат возврату /обмену товары, приобретённые в интернет-магазине, включенные в Перечень непродовольственных товаров надлежащего качества, не подлежащих возврату или обмену Утвержден Постановлением Правительства Российской Федерации от 19 января 1998 г. N 55 ПЕРЕЧЕНЬ НЕПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ НАДЛЕЖАЩЕГО КАЧЕСТВА, НЕ ПОДЛЕЖАЩИХ ВОЗВРАТУ ИЛИ ОБМЕНУ НА АНАЛОГИЧНЫЙ ТОВАР ДРУГИХ РАЗМЕРА, ФОРМЫ, ГАБАРИТА, ФАСОНА, РАСЦВЕТКИ ИЛИ КОМПЛЕКТАЦИИ
1. Товары для профилактики и лечения заболеваний в домашних условиях (предметы по уходу за детьми)
2. Предметы личной гигиены (зубные щетки, расчески, заколки и тд)
3. Парфюмерно-косметические товары
4. Текстильные товары (хлопчатобумажные, льняные, шелковые, шерстяные и синтетические ткани, товары из нетканых материалов типа тканей - ленты, тесьма, кружево и другие);
5. Швейные и трикотажные изделия (изделия швейные и трикотажные бельевые, изделия чулочно-носочные)
6. Изделия и материалы, полностью или частично изготовленные из полимерных материалов и контактирующие с пищевыми продуктами (посуда и принадлежности столовые и кухонные, емкости и упаковочные материалы для хранения и транспортирования пищевых продуктов, в том числе для разового использования)
7. Мебель бытовая (мебельные гарнитуры и комплекты)
8. Технически сложные товары бытового назначения, на которые установлены гарантийные сроки (электробытовые машины и приборы; бытовая радиоэлектронная аппаратура; бытовая вычислительная и множительная техника; фото- и киноаппаратура; телефонные аппараты и факсимильная аппаратура; электромузыкальные инструменты; игрушки электронные)
9. Непериодические издания (книги, брошюры, альбомы, картографические и нотные издания, листовые издания, календари, буклеты, издания, воспроизведенные на технических носителях информации)
 на аналогичный товар других размера, фасона, габарита, формы, расцветки или комплектации , утв. Постановлением Правительства РФ № 55 от 19.01.1998 г.
Детское питание надлежащего качества, приобретенное в интернет-магазине, обмену или возврату не подлежит."
"ПАО ""Детский мир""",7.3.,"7.3. Возврат Товара производится на основании Заявления, заполненного и подписанного Покупателем."
"ПАО ""Детский мир""",7.4.,"7.4. При возврате Покупателем Товара надлежащего качества составляются накладная или акт о возврате товара, в котором указываются:
· полное фирменное наименование (наименование) Продавца;
· фамилия, имя, отчество Покупателя;
· наименование Товара;
· даты заключения договора и передачи Товара;
· сумма, подлежащая возврату;
· подписи продавца и покупателя."
"ПАО ""Детский мир""",7.5.,"7.5. Обмен товара надлежащего качества
Покупатель не вправе обменять Товар надлежащего качества, купленный в интернет-магазине, в любом розничном магазине сети «Детский мир»."
"ПАО ""Детский мир""",7.5.1.,"7.5.1. Обмен Товара надлежащего качества возможен в случае, если покупатель не является юридическим лицом, указанный товар не был в употреблении/не имеет следов использования, сохранены его товарный вид, потребительские свойства, пломбы, фабричные ярлыки, не повреждена упаковка, а также имеется товарный чек или кассовый чек либо иной подтверждающий оплату указанного товара документ, выданный любым магазином сети «Детский мир». Согласно закону «О защите прав потребителей» от 07.02.1992 № 2300-1 невозможен возврат товара, бывшего в употреблении. Обмен Товара может быть произведен в любом магазине сети «Детский мир».
Обмен осуществляется при условии наличия Товара в магазине. В случае отсутствия Товара в выбранных Покупателем магазинах обмен Товара в соответствии с данным пунктом не производится."
"ПАО ""Детский мир""",7.6.,"7.6. Возврат товара ненадлежащего качества:
Под товаром ненадлежащего качества подразумевается товар, который неисправен и не может обеспечить исполнение своих функциональных качеств.
Полученный товар должен соответствовать описанию на сайте. Отличие элементов дизайна или оформления от заявленных в описании на сайте не является неисправностью или нефункциональностью товара.
Внешний вид и комплектность товара, а также комплектность всего заказа должны быть проверены Покупателем/Получателем в момент доставки товара. При доставке товара, Покупатель/Получатель ставит свою подпись в квитанции о доставке, в графе: «Заказ принял, комплектность полная, услуги по доставке оказаны, претензий к количеству и внешнему виду товара не имею. С условиями возврата товара ознакомлен». После получения заказа претензии к внешним дефектам товара, его количеству, комплектности и товарному виду не принимаются.
Если Покупателю / Получателю был передан товар ненадлежащего качества, и оно не было заранее оговорено продавцом, Покупатель / Получатель вправе воспользоваться положениями ст. 18 Закона о защите прав потребителей.
В связи с особенностями дистанционного способа продажи, замена товара может быть выполнена только посредством возврата товара ненадлежащего качества и оформления нового заказа на аналогичный товар.
Покупатель/Получатель вправе отказаться от исполнения договора купли-продажи, возвратить товар ненадлежащего качества и потребовать возврата уплаченной за товар денежной суммы.
Любые из перечисленных требований должны быть предъявлены Покупателем/Получателем в письменной форме посредством заполнения заявления (раздел «Обмен и возврат товара»). Требования о возврате уплаченной за товар денежной суммы подлежат удовлетворению в течение 10 дней со дня предъявления соответствующего требования (ст. 22 Закона РФ «О защите прав потребителей»)."
"ПАО ""Детский мир""",7.7.,"7.7. Обмен и возврат товара производится в любом розничном магазине Продавца, адреса которых указаны на сайте Продавца по адресу http://www.detmir.ru/shops/.
О своем желании вернуть товар, приобретенный в интернет-магазине, покупатель должен сообщить по телефону «горячей линии» 8 (800) 250-00-00. В результате звонка оператор колл-центра вносит в заказ информацию о возврате, указав магазин, в который планирует обратиться покупатель, информацию о возвращаемом товаре, причину возврата.

Для осуществления возврата Покупатель обязан предъявить  в магазине сети «Детский мир» следующие документы:
· любой документ, удостоверяющий личность Покупателя, из перечисленных в Определениях Правил;
· кассовый чек/ товарный чек/ товарную накладную, если оплата была произведена наличными курьеру;
· товарный чек/ товарную накладную, если оплата осуществлялась путем безналичного расчета.
Стоимость доставки товара Покупателю не возмещается."
"ПАО ""Детский мир""",8.,8. ГАРАНТИИ И ОТВЕТСТВЕННОСТЬ
"ПАО ""Детский мир""",8.1.,"8.1. Продавец не несет ответственности за ущерб, причиненный Покупателю вследствие ненадлежащего использования Товаров, приобретённых в Интернет-магазине."
"ПАО ""Детский мир""",8.2.,"8.2. Продавец не отвечает за убытки Покупателя возникшие в результате:
· неправильного заполнения бланка-заказа, в т. ч. неправильного указания персональных данных,
· неправомерных действий третьих лиц."
"ПАО ""Детский мир""",8.3.,8.3. Покупатель обязуется не использовать заказанный Товар в предпринимательских целях.
"ПАО ""Детский мир""",8.4.,"8.4. Покупатель несёт всю ответственность за достоверность сведений, указанных им при регистрации в Интернет-магазине."
"ПАО ""Детский мир""",8.5.,"8.5. Стороны освобождаются от ответственности за полное или частичное неисполнение своих обязательств, если такое неисполнение явилось следствием действия обстоятельств непреодолимой силы, возникших после вступления в силу Правил, в результате событий чрезвычайного характера, которые Стороны не могли предвидеть и предотвратить разумными мерами."
"ПАО ""Детский мир""",8.6.,"8.6. В иных случаях, не предусмотренных п. 8.5. Правил неисполнения или ненадлежащего исполнения своих обязательств Стороны несут ответственность в соответствии с действующим законодательством Российской Федерации."
"ПАО ""Детский мир""",#N/A,
"ПАО ""Детский мир""",9.,9. КОНФИДЕНЦИАЛЬНОСТЬ И ЗАЩИТА ПЕРСОНАЛЬНОЙ ИНФОРМАЦИИ
"ПАО ""Детский мир""",9.1.,9.1. Предоставление информации Покупателем:
"ПАО ""Детский мир""",9.1.1.,"9.1.1. При заказе товара через Интернет-магазин, Покупатель предоставляет о себе следующую информацию: Фамилия, Имя, адрес электронной почты, контактный номер телефона, вариант пароля для доступа к Интернет-магазину, который хранится в зашифрованном виде, адрес для доставки Заказов."
"ПАО ""Детский мир""",9.2.,9.2. Использование информации предоставленной Покупателем и получаемой Продавцом:
"ПАО ""Детский мир""",9.2.1.,"9.2.1. Продавец использует полученную от Покупателя информацию:
· для регистрации Покупателя в Интернет-магазине;
· для выполнения своих обязательств перед Покупателем;
· для оценки и анализа работы Интернет-магазина;
· для определения победителя в акциях, проводимых Продавцом.
· для восстановления пароля
· для рассылки рекламно-информационных сообщений (в случае получения согласия на это от Покупателя)"
"ПАО ""Детский мир""",9.2.2.,"9.2.2. Продавец вправе направлять Покупателю сообщения рекламно-информационного характера при согласии на это Покупателя, о котором он сообщает при подписке на получение таких сообщений. Если Покупатель не желает получать рассылки от Продавца, он может отказаться от получения такой рассылки в Интернет-магазине, уведомив Продавца по электронной почте."
"ПАО ""Детский мир""",9.2.3.,9.2.3.Продавец имеет право на обезличивание персональных данных и передачу третьим лицам обезличенных персональных данных для маркетинговых и рекламных целей при условии невозможности таким лицом без использования дополнительной информации определить принадлежность персональных данных конкретному субъекту персональных данных.
